"user_id","rank","artist_id","timeframe","artist","genres","artist_url","artist_image","popularity"
"12153521253",12,"3TVXtAsR1Inumwj472S9r4",Long,Drake,canadian hip hop; canadian pop; hip hop; pop rap; rap; toronto rap,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/60cfab40c6bb160a1906be45276829d430058005,97
"12120382831",12,"1EowJ1WwkMzkCkRomFhui7",Long,RADWIMPS,j-pop; j-poprock; j-rock; japanese emo; visual kei,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,https://i.scdn.co/image/dcce11b6c3797bba9852892dda99b85cf4c58861,73
"12120382831",13,"2YZyLoL8N0Wb9xBt1NhZWg",Long,Kendrick Lamar,conscious hip hop; hip hop; rap; west coast rap,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/3a836196bfb341f736c7fe2704fb75de53f8dfbb,88
"12153521253",13,"5pKCCKE2ajJHZ9KAiaK11H",Long,Rihanna,barbadian pop; dance pop; pop; pop dance; post-teen pop; r&b; urban contemporary,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,https://i.scdn.co/image/1fc2f537d678d701d7d143a8fd4f0c2f29fbde22,90
"12120382831",14,"68kEuyFKyqrdQQLLsmiatm",Long,Vince Staples,conscious hip hop; escape room; hip hop; rap; underground hip hop,https://open.spotify.com/artist/68kEuyFKyqrdQQLLsmiatm,https://i.scdn.co/image/b5928a2fad6cc160bf4b37d8d393d401db61e6c2,71
"12153521253",14,"5JZ7CnR6gTvEMKX4g70Amv",Long,Lauv,electropop; pop; post-teen pop,https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv,https://i.scdn.co/image/53020d6fc2c13f28188f8cf046f996d6f716685e,85
"12153521253",15,"1Bl6wpkWCQ4KVgnASpvzzA",Long,BROCKHAMPTON,boy band; hip hop; rap; underground hip hop,https://open.spotify.com/artist/1Bl6wpkWCQ4KVgnASpvzzA,https://i.scdn.co/image/c5d8db5b41cdf04a63ab8dc30c4f92a9b9005263,76
"12120382831",15,"3MZsBdqDrRTJihTHQrO6Dq",Long,Joji,alternative r&b; viral pop,https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq,https://i.scdn.co/image/946502271a52151aae958c8d5bfefc1088e50886,86
"12153521253",16,"3WGpXCj9YhhfX11TToZcXP",Long,Troye Sivan,australian pop; dance pop; electropop; pop; pop dance; post-teen pop; viral pop,https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP,https://i.scdn.co/image/457ae8b1846ae6f55ec5602ac97d62889646ee6d,80
"12120382831",16,"00FQb4jTyendYWaN8pK0wa",Long,Lana Del Rey,art pop; pop,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,https://i.scdn.co/image/d79b3e6cc42de7f44c8f131ed9b3ed594202e400,85
